Date,PS,T2M,T2MDEW,QV2M,PRECTOTCORR,WS50M,PS_Pa,T_K,Air_Density,WS50M_Cubed,Power
2020-01-01,98.84,23.97,21.76,16.57,11.21,4.64,9884.0,297.12,0.11590947896554894,99.89734399999998,94288.29122806372
2020-01-02,98.93,24.38,21.81,16.59,1.05,3.33,9893.0,297.53,0.11585515166625661,36.926037,34836.37207874762
2020-01-03,98.82,24.86,21.7,16.5,0.0,2.97,9882.0,298.01,0.11553993405969236,26.198073000000004,24648.26378789633
2020-01-04,98.64,25.24,22.11,16.96,0.07,3.18,9864.0,298.39,0.11518260658565663,32.15743200000001,30161.51361627619
2020-01-05,98.67,25.02,22.14,16.97,1.12,4.14,9867.0,298.16999999999996,0.11530264929659775,70.95794399999998,66623.15256863741
2020-01-06,98.89,23.96,21.22,16.0,3.5,4.88,9889.0,297.10999999999996,0.11597201707458975,116.214272,109748.23555100887
2020-01-07,98.88,23.68,20.69,15.49,0.96,4.89,9888.0,296.83,0.11606967514224933,116.93016899999998,110517.28724585794
2020-01-08,98.81,23.16,19.7,14.57,0.01,4.48,9881.0,296.31,0.11619105473514707,89.91539200000003,85072.97218330218
2020-01-09,98.79,22.97,18.58,13.6,0.0,3.22,9879.0,296.12,0.11624207344136311,33.38624800000001,31602.09199320914
2020-01-10,98.84,22.14,18.29,13.34,0.0,4.62,9884.0,295.28999999999996,0.11662780449809985,98.61112800000001,93651.10299464873
2020-01-11,98.93,21.82,18.29,13.33,0.0,4.8,9893.0,294.96999999999997,0.11686064099827552,110.59199999999998,105239.03234571588
2020-01-12,98.82,22.67,19.36,14.27,0.01,4.78,9882.0,295.82,0.11639529358775243,109.21535200000001,103515.16526304033
2020-01-13,98.68,22.46,17.38,12.64,0.0,3.81,9868.0,295.60999999999996,0.11631296390962433,55.306341,52382.704793062796
2020-01-14,98.68,21.72,15.62,11.28,0.0,3.49,9868.0,294.87,0.11660486065494638,42.50854900000001,40362.4764905063
2020-01-15,98.75,21.48,16.25,11.75,0.0,3.92,9875.0,294.63,0.11678262738087256,60.236287999999995,57282.4141317117
2020-01-16,98.73,22.77,16.49,11.95,0.0,3.75,9873.0,295.91999999999996,0.11624998940291802,52.734375,49919.65727805447
2020-01-17,98.73,23.54,19.64,14.57,0.03,4.18,9873.0,296.69,0.11594828563184299,73.03463199999999,68956.95043523007
2020-01-18,98.73,24.2,20.95,15.77,1.47,5.32,9873.0,297.34999999999997,0.11569092606057339,150.56876800000003,141846.64370479275
2020-01-19,98.78,24.11,20.08,14.93,0.12,4.57,9878.0,297.26,0.11578456054261911,95.44399300000002,89987.90097462409
2020-01-20,98.88,23.6,18.43,13.48,0.0,4.35,9888.0,296.75,0.11610096604035001,82.31287499999998,77819.50681987088
2020-01-21,98.98,22.58,17.63,12.8,0.0,4.98,9898.0,295.72999999999996,0.11661922996668847,123.50599200000003,117285.16080580908
2020-01-22,99.01,23.03,18.9,13.84,0.0,5.73,9901.0,296.17999999999995,0.11647733756405314,188.13251700000004,178439.16026562804
2020-01-23,98.93,23.38,18.76,13.74,0.0,5.23,9893.0,296.53,0.11624585463616272,143.05566700000003,135415.19867668717
2020-01-24,98.91,22.18,16.17,11.74,0.0,4.77,9891.0,295.33,0.11669459463700384,108.53133299999998,103131.36044845676
2020-01-25,98.9,22.07,13.81,10.19,0.0,3.93,9890.0,295.21999999999997,0.11672627299501678,60.698457000000005,57694.065064980896
2020-01-26,98.77,23.12,15.96,11.55,0.0,3.23,9877.0,296.27,0.11615969941722573,33.698267,31874.832879619
